         381229104 function calls (381226101 primitive calls) in 695.170 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    30934    0.031    0.000    1.580    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/datasets/formatting/formatting.py:455(format_row)
       35    1.485    0.042    1.485    0.042 {built-in method posix.mkdir}
        2    0.000    0.000    1.446    0.723 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/transformers/models/auto/tokenization_auto.py:776(tokenizer_class_from_name)
        8    0.000    0.000    1.446    0.181 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/importlib/__init__.py:108(import_module)
        8    0.000    0.000    1.446    0.181 <frozen importlib._bootstrap>:1038(_gcd_import)
        8    0.000    0.000    1.446    0.181 <frozen importlib._bootstrap>:1022(_find_and_load)
        5    0.000    0.000    1.445    0.289 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
        5    0.000    0.000    1.388    0.278 <frozen importlib._bootstrap>:664(_load_unlocked)
        5    0.000    0.000    1.388    0.278 <frozen importlib._bootstrap_external>:877(exec_module)
        5    0.000    0.000    1.375    0.275 <frozen importlib._bootstrap_external>:950(get_code)
        2    0.000    0.000    1.366    0.683 <frozen importlib._bootstrap_external>:1094(_cache_bytecode)
        2    0.000    0.000    1.366    0.683 <frozen importlib._bootstrap_external>:1099(set_data)
 10106121    1.300    0.000    1.300    0.000 {method 'items' of 'dict' objects}
    33206    0.158    0.000    1.206    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/langchain_text_splitters/character.py:52(_split_text_with_regex)
   190341    0.110    0.000    1.159    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/re.py:197(search)
   102278    1.153    0.000    1.153    0.000 {method 'find' of 'str' objects}
        2    0.000    0.000    1.119    0.559 <frozen importlib._bootstrap_external>:185(_write_atomic)
  4971127    1.086    0.000    1.086    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/_collections_abc.py:854(__init__)
  4970983    1.085    0.000    1.085    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/transformers/tokenization_utils_fast.py:589(<listcomp>)
   118/92    0.000    0.000    0.980    0.011 {built-in method builtins.next}
        6    0.000    0.000    0.918    0.153 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/huggingface_hub/file_download.py:1491(_get_metadata_or_catch_error)
  4970983    0.892    0.000    0.892    0.000 /mnt/nlpgpu-io1/data/terry/ToolProj/.pixi/envs/default/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:301(encodings)
